lane,shipment_count,total_emissions,average_emissions,average_utilization,average_speed_kmph,average_transit_time_hrs,average_co2_per_ton_km,hotspot_tag,recommendation_summary
Agartala - Agra,8,1843.1,230.3875,62.375,52.1125,18.425,0.050042375,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Ahmedabad,8,7664.7,958.0875,68.625,52.7625,34.7375,0.046477125,Normal,Monitor performance
Agartala - Aizawl,9,8878.1,986.4555556,74.33333333,57.28888889,36.37777778,0.096902556,Normal,Monitor performance
Agartala - Ajmer,10,6919.8,691.98,76.6,46.51,29.09,0.0444339,Normal,Monitor performance
Agartala - Ambala,12,7560,630,68.16666667,50.275,24.21666667,0.053024333,Normal,Monitor performance
Agartala - Amritsar,11,7428.4,675.3090909,76.09090909,47.71818182,28.68181818,0.073004636,Normal,Monitor performance
Agartala - Asansol,8,7513.6,939.2,65.5,51.15,56.4,0.02910075,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Aurangabad,13,6150.9,473.1461538,62.30769231,48.34615385,25.6,0.045846,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Ballari,11,10898.2,990.7454545,69.90909091,49.64545455,37.09090909,0.087660091,Normal,Monitor performance
Agartala - Bareilly,6,5908.3,984.7166667,63.5,53.63333333,45.45,0.033398667,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Belagavi,12,17017.9,1418.158333,70.33333333,49.51666667,50.875,0.0614375,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Belgaum,7,3094.7,442.1,73.71428571,51.64285714,22.31428571,0.074257286,Normal,Monitor performance
Agartala - Bhopal,12,18453.6,1537.8,65.66666667,54.20833333,53.25,0.055079167,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Bhubaneswar,10,8470.7,847.07,75.2,47.39,38.93,0.0619672,Normal,Monitor performance
Agartala - Bilaspur,10,1507.4,150.74,78,51.18,9.76,0.0502254,Normal,Monitor performance
Agartala - Bokaro,11,12073.6,1097.6,60.36363636,52.92727273,38.72727273,0.079386818,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Burhanpur,12,4440.3,370.025,65.91666667,50.51666667,17.9,0.053589,Low Utilization Lane,Improve load planning and shipment consolidation
