shipment_id,origin,destination,lane,date,distance_km,weight_ton,vehicle_type,fuel_type,utilization_percent,estimated_emissions_kg_co2e,traffic congestion,Age of vehicle,Engine size ( Capacity of liters of fuel)
SYNX000000,Panipat,Siliguri,Panipat - Siliguri,2024-07-21 00:00:00,1450,13.5965958447135,18mt open body,Diesel,79.2340279873206,657.5,Medium,6,7.2
SYNX000001,Jabalpur,Durgapur,Jabalpur - Durgapur,2024-10-04 00:00:00,936,6.77885796865472,17mt openbody,Diesel,92.7578716091011,798.4,High,5,5.9
SYNX000002,Jaipur,Bhopal,Jaipur - Bhopal,2024-08-21 00:00:00,547,9.85694741617424,17mt openbody,Diesel,62.7543412952278,471.1,Medium,5,5.9
SYNX000003,Belgaum,Kanpur,Belgaum - Kanpur,2024-06-28 00:00:00,1655,6.40698958801864,17mt openbody,EV,45.315660899291,375.5,Medium,5,5.9
SYNX000004,Ranchi,Indore,Ranchi - Indore,2024-03-27 00:00:00,1212,1.06254796941217,16mt openbody,CNG,89.0972355916938,73.1,Medium,4,5
SYNX000005,Ahmedabad,Agra,Ahmedabad - Agra,2024-05-13 00:00:00,895,9.5228958920745,17mt openbody,CNG,81.4638625890753,834.6,High,5,5.9
SYNX000006,Panipat,Kota,Panipat - Kota,2024-07-31 00:00:00,596,2.22262775191852,16mt openbody,EV,84.8260608673418,106.1,Medium,4,5
SYNX000007,Kanpur,Indore,Kanpur - Indore,2024-01-07 00:00:00,767,16.9240541973711,18mt mxl,Diesel,56.46652199053,1162.3,Medium,7,7.8
SYNX000008,Jabalpur,Varanasi,Jabalpur - Varanasi,2024-10-05 00:00:00,481,3.9899923961577,16mt openbody,EV,66.7964997416304,250.8,Medium,4,5
SYNX000009,Lucknow,Kolkata,Lucknow - Kolkata,2024-07-24 00:00:00,1109,9.51178252070604,17mt openbody,CNG,86.3434094581561,635.5,Medium,5,5.9
SYNX000010,Lucknow,Rohtak,Lucknow - Rohtak,2024-09-09 00:00:00,604,1.31711035404874,16mt openbody,EV,63.668098887645,102,High,4,5
SYNX000011,Trichy,Patna,Trichy - Patna,2024-09-02 00:00:00,2225,1.44004982957142,16mt openbody,CNG,46.7599601608732,51.6,Medium,4,5
SYNX000012,Bhopal,Gurgaon,Bhopal - Gurgaon,2024-03-31 00:00:00,724,4.06166576979317,16mt openbody,CNG,74.1371971875466,300.7,High,4,5
SYNX000013,Faridabad,Nagpur,Faridabad - Nagpur,2024-01-28 00:00:00,1034,5.17221410651746,16mt openbody,EV,57.837325578225,176.8,Medium,4,5
SYNX000014,Faridabad,Surat,Faridabad - Surat,2024-12-20 00:00:00,1154,6.20060497659483,17mt openbody,EV,79.3277650425276,760.4,High,5,5.9
SYNX000015,Nagpur,Ludhiana,Nagpur - Ludhiana,2024-08-18 00:00:00,1414,25.9363130981206,24FT MA CONTAINER,Diesel,86.9200056878493,1120.1,Medium,8,8.9
SYNX000016,Noida,Faridabad,Noida - Faridabad,2024-03-20 00:00:00,20,10.7488833486633,18mt open body,Diesel,76.8786652129355,1535.8,High,6,7.2
SYNX000017,Visakhapatnam,Bilaspur,Visakhapatnam - Bilaspur,2024-01-05 00:00:00,627,7.15654552716954,17mt openbody,EV,89.4190023821624,543.5,High,5,5.9
SYNX000018,Guwahati,Chennai,Guwahati - Chennai,2024-12-19 00:00:00,2353,20.6902683178322,21 MT OPENBODY,Diesel,78.2919561012725,1486.4,High,8,8.9
SYNX000019,Rajkot,Udaipur,Rajkot - Udaipur,2024-08-12 00:00:00,488,8.33327199325649,17mt openbody,Diesel,90.7724914537816,306.2,Medium,5,5.9
SYNX000020,Prayagraj,Vadodara,Prayagraj - Vadodara,2024-06-09 00:00:00,1184,5.14880049100359,16mt openbody,CNG,79.3083182890375,192.2,Medium,4,5
SYNX000021,Surat,Delhi,Surat - Delhi,2024-04-22 00:00:00,1177,6.78840268245993,17mt openbody,CNG,75.9354959575411,468.4,Medium,5,5.9
SYNX000022,Indore,Kota,Indore - Kota,2024-12-24 00:00:00,347,3.44327024602031,16mt openbody,CNG,42.2422985263682,161.7,Medium,4,5
SYNX000023,Vijayawada,Jaipur,Vijayawada - Jaipur,2024-08-01 00:00:00,1576,2.79133003061764,16mt openbody,EV,71.2124436861757,198,High,4,5
SYNX000024,Hubli,Hyderabad,Hubli - Hyderabad,2024-10-01 00:00:00,529,4.31983162695583,16mt openbody,CNG,77.6435432110337,221.1,Medium,4,5
SYNX000025,Chandigarh,Guwahati,Chandigarh - Guwahati,2024-06-24 00:00:00,1934,9.11212475077638,17mt openbody,Diesel,46.2420558846635,1169.3,High,5,5.9
SYNX000026,Agra,Patna,Agra - Patna,2024-01-31 00:00:00,914,17.1880968180202,18mt mxl,Diesel,71.9556779870722,936.4,Medium,7,7.8
SYNX000027,Mangalore,Jabalpur,Mangalore - Jabalpur,2024-06-29 00:00:00,1579,6.47434826269254,17mt openbody,CNG,98.0770564150697,407.7,Medium,5,5.9
SYNX000028,Vadodara,Trichy,Vadodara - Trichy,2024-05-21 00:00:00,1761,13.0484693172177,18mt open body,EV,70.8209099575446,581.1,Medium,6,7.2
SYNX000029,Nashik,Rohtak,Nashik - Rohtak,2024-04-16 00:00:00,1287,13.8574359891348,18mt open body,Diesel,90.9490315347054,2018.6,High,6,7.2
SYNX000030,Udaipur,Jalandhar,Udaipur - Jalandhar,2024-11-17 00:00:00,964,3.67919166873267,16mt openbody,Diesel,61.2862460009303,476.6,High,4,5
SYNX000031,Agra,Indore,Agra - Indore,2024-06-18 00:00:00,676,12.7582483182425,18mt open body,Diesel,78.0288151537857,1697.8,High,6,7.2
SYNX000032,Aurangabad,Jabalpur,Aurangabad - Jabalpur,2024-04-09 00:00:00,756,3.81669791469007,16mt openbody,Diesel,95.0239860658542,100.2,Medium,4,5
