lane,shipment_count,total_emissions,average_emissions,average_utilization,average_speed_kmph,average_transit_time_hrs,average_co2_per_ton_km,hotspot_tag,recommendation_summary
Agartala - Agra,8,1843.1,230.3875,62.375,52.1125,18.425,0.050042375,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Ahmedabad,8,7664.7,958.0875,68.625,52.7625,34.7375,0.046477125,Normal,Monitor performance
Agartala - Aizawl,9,8878.1,986.455555555556,74.3333333333333,57.2888888888889,36.3777777777778,0.0969025555555556,Normal,Monitor performance
Agartala - Ajmer,10,6919.8,691.98,76.6,46.51,29.09,0.0444339,Normal,Monitor performance
Agartala - Ambala,12,7560,630,68.1666666666667,50.275,24.2166666666667,0.0530243333333333,Normal,Monitor performance
Agartala - Amritsar,11,7428.4,675.309090909091,76.0909090909091,47.7181818181818,28.6818181818182,0.0730046363636364,Normal,Monitor performance
Agartala - Asansol,8,7513.6,939.2,65.5,51.15,56.4,0.02910075,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Aurangabad,13,6150.9,473.146153846154,62.3076923076923,48.3461538461539,25.6,0.045846,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Ballari,11,10898.2,990.745454545455,69.9090909090909,49.6454545454546,37.0909090909091,0.0876600909090909,Normal,Monitor performance
Agartala - Bareilly,6,5908.3,984.716666666667,63.5,53.6333333333333,45.45,0.0333986666666667,Low Utilization Lane,Improve load planning and shipment consolidation
Agartala - Belagavi,12,17017.9,1418.15833333333,70.3333333333333,49.5166666666667,50.875,0.0614375,High Emission Lane,Evaluate cleaner fuel vehicles and routing
Agartala - Belgaum,7,3094.7,442.1,73.7142857142857,51.6428571428572,22.3142857142857,0.0742572857142857,Normal,Monitor performance
Agartala - Bhopal,12,18453.6,1537.8,65.6666666666667,54.2083333333333,53.25,0.0550791666666667,High Emission + Low Utilization,Consolidate shipments and deploy higher efficiency vehicles
Agartala - Bhubaneswar,10,8470.7,847.07,75.2,47.39,38.93,0.0619672,Normal,Monitor performance
Agartala - Bilaspur,10,1507.4,150.74,78,51.18,9.76,0.0502254,Normal,Monitor performance
Agartala - Bokaro,11,12073.6,1097.6,60.3636363636364,52.9272727272727,38.7272727272727,0.0793868181818182,Low Utilization Lane,Improve load planning and shipment consolidation
